gamma	sackin	colless	beta	blum	crown_age	tree_height	pigot_rho	number_of_lineages	nltt_base	phylogenetic_div	avg_ladder	max_ladder	cherries	il_number	pitchforks	stairs	laplace_spectrum_a	laplace_spectrum_p	laplace_spectrum_e	laplace_spectrum_g	imbalance_steps	j_one	b1	b2	area_per_pair	average_leaf_depth	i_stat	ew_colless	max_del_width	max_depth	max_width	rogers	stairs2	tot_coph	var_depth	symmetry_nodes	mpd	psv	vpd	mntd	j_stat	rquartet	wiener	max_betweenness	max_closeness	diameter	eigenvector	mean_branch_length	var_branch_length	mean_branch_length_int	mean_branch_length_ext	var_branch_length_int	var_branch_length_ext	model	extinction	combined
-5.34507	3358	1574	-0.2049362	362.0586	10	10	-0.6137879	300	0.7079202	876.2395	2.708333	6	96	108	49	0.6421405	-0.7874313	3.814066	9.306769	14	281	0.7351535	155.5919	5.658684	16.8342	11.19333	0.5236211	0.4842978	18	18	78	192	0.6306442	124514	8.310323	192	16.97971	8.489853	7.841786	3.439699	0.05659902	235060665	2526416	115661	2.183778e-4	31	0.6822588	1.465283	1.680288	1.209009	1.71985	1.280417	1.952626	DDD	TRUE	DDD_TRUE
-5.848146	3123	1331	0.1042187	349.3944	10	10	-0.5410141	300	0.6819667	954.0999	2.44	4	97	106	59	0.6153846	-1.122911	4.62018	9.300061	580	281	0.7904725	160.6075	6.826996	17.4142	10.41	0.4732947	0.4724167	18	18	72	184	0.6532116	76375	9.353077	189	18.37932	9.189662	8.203924	3.900404	0.06126442	319380933	2730791	113399	2.006989e-4	31	0.70543	1.595485	1.834819	1.238387	1.950202	1.241053	2.177412	DDD	TRUE	DDD_TRUE
-5.940854	3307	1559	-0.3970544	367.8006	10	10	-0.7259818	300	0.6960281	911.9156	2.642857	6	93	114	50	0.6454849	-1.194051	5.214059	9.301253	589	280	0.746491	153.8257	5.942905	18.41001	11.02333	0.5747986	0.5185653	18	19	76	193	0.6045843	81552	9.267012	195	18.10539	9.052697	9.843353	3.670379	0.06035131	378450678	2706958	114389	1.994306e-4	34	0.7024367	1.524943	1.699317	1.212613	1.83519	1.217089	1.990204	DDD	TRUE	DDD_TRUE
-4.635612	3124	1342	0.03208252	355.5409	10	10	-0.5847459	300	0.6839325	948.2026	2.24	5	97	106	51	0.6220736	-1.197937	4.409971	9.304757	576	281	0.7902195	158.4138	6.585335	16.70297	10.41333	0.4995392	0.4681447	20	18	76	186	0.6440439	92474	7.66136	189	18.60849	9.304243	7.80311	3.66607	0.06202829	245357097	2775441	116757	2.003311e-4	30	0.6951917	1.585623	2.084989	1.336551	1.833035	1.670353	2.380579	DDD	TRUE	DDD_TRUE
-4.60901	2982	1126	0.1137878	353.4181	10	10	0.6342617	300	0.6885505	934.3486	2.366667	5	98	104	49	0.638796	-1.311299	6.044242	9.285708	586	284	0.827849	158.1438	6.72998	16.84129	9.94	0.5148945	0.4785842	22	15	86	191	0.6358048	68143	5.27398	191	18.48465	9.242324	7.875589	3.542005	0.06161549	318596847	2761537	112059	1.98241e-4	27	0.7068512	1.562456	1.964083	1.35251	1.771002	1.667882	2.177305	DDD	TRUE	DDD_TRUE
-3.73301	3039	1241	0.3246299	345.5976	10	10	0.6342617	300	0.6994342	901.6975	2.388889	4	102	96	53	0.6187291	-1.343378	5.80746	9.290302	585	282	0.8123217	161.7538	7.095703	17.13755	10.13	0.4917255	0.4586184	36	17	92	185	0.6492669	70021	8.260635	185	18.39331	9.196657	8.007557	3.359796	0.06131105	369808509	2764742	113637	1.981132e-4	32	0.6545249	1.507855	1.778998	1.334658	1.679898	1.389257	2.112487	DDD	TRUE	DDD_TRUE
-5.330274	2952	1128	0.4766772	345.1413	10	10	0.4999584	300	0.6717721	984.6837	2.35	5	102	96	50	0.5852843	-1.292792	5.197272	9.286823	567	284	0.8362621	163.8555	6.648987	16.85489	9.84	0.4498478	0.4330001	26	15	98	175	0.6694827	63353	4.937525	179	18.59799	9.298994	6.026809	3.840057	0.06199329	393241110	2751669	110649	2.026838e-4	30	0.6479937	1.646628	2.020957	1.371393	1.920028	1.388322	2.50562	DDD	TRUE	DDD_TRUE
-5.736332	3085	1259	-0.08217752	356.7634	10	10	-0.7259818	300	0.6684616	994.6153	2.227273	3	99	102	53	0.6354515	-1.19535	5.612426	9.291851	591	282	0.8002093	158.8745	6.214706	17.07824	10.28333	0.5096702	0.4739943	22	17	100	190	0.6362269	78228	6.257246	190	18.21124	9.105621	6.256104	4.029988	0.06070414	304591959	2676328	114125	2.091181e-4	29	0.7033925	1.663236	2.241518	1.309118	2.014994	1.524808	2.711803	DDD	TRUE	DDD_TRUE
-5.270013	3426	1726	-0.1583962	357.545	10	10	-0.09400899	300	0.6691108	992.6675	2.375	4	101	98	45	0.5986622	-1.235714	4.870832	9.288481	587	278	0.7205621	160.4819	5.958793	17.14136	11.42	0.4987059	0.4516502	12	21	66	179	0.6508345	127792	11.55545	182	18.37408	9.187042	5.871248	3.890889	0.06124695	204476208	2706710	108949	2.078924e-4	34	0.704719	1.659979	2.116554	1.372598	1.945444	1.46519	2.606565	DDD	TRUE	DDD_TRUE
-6.917306	2849	919	0.9197998	341.1815	10	10	0.399646	300	0.6572754	1028.174	2.333333	5	100	100	53	0.6153846	-1.166413	4.98783	9.275116	560	285	0.8664955	162.7095	7.059937	16.52274	9.496667	0.4553418	0.4491099	28	14	94	184	0.664529	55403	3.749153	185	18.46836	9.234178	6.172769	4.196134	0.06156119	416767857	2702319	110939	2.011731e-4	27	0.7071067	1.719354	2.094948	1.3381	2.098067	1.352879	2.550287	DDD	TRUE	DDD_TRUE
-6.483475	3163	1455	0.4813783	341.1899	10	10	-0.9767153	300	0.6611329	1016.601	2.26087	5	101	98	57	0.6086957	-1.242049	5.339691	9.276249	1	279	0.780476	163.6144	6.584398	16.91026	10.54333	0.4629912	0.4567148	24	20	76	182	0.6600378	93656	10.07504	183	18.26128	9.130639	5.708377	4.102705	0.06087093	284271501	2672113	106843	2.103884e-4	31	0.6925598	1.700002	2.039101	1.346293	2.051353	1.395407	2.436758	DDD	TRUE	DDD_TRUE
-5.306802	2845	931	0.4766772	346.802	10	10	0.4999584	300	0.6653485	1003.954	2.227273	4	103	94	46	0.5953177	-1.342241	6.081772	9.284362	582	284	0.8677137	161.8492	7.178772	16.66223	9.483333	0.4803595	0.4394505	32	15	98	178	0.6609407	51677	4.310758	180	18.90427	9.452134	6.131374	3.892355	0.06301422	418755177	2795053	110319	2.00211e-4	30	0.6585746	1.678853	2.104619	1.409735	1.946178	1.66578	2.403678	DDD	TRUE	DDD_TRUE
-6.117994	3025	1119	0.1190324	349.1664	10	10	-0.8381582	300	0.6430189	1070.943	2.238095	4	104	92	46	0.5785953	-1.158715	5.046182	9.27859	578	281	0.8160812	164.4947	6.774986	17.39824	10.08333	0.4578661	0.4256425	18	18	80	173	0.6723067	62082	6.330825	173	18.62175	9.310875	5.54559	4.244174	0.0620725	414261750	2704176	112017	2.039577e-4	32	0.7070825	1.790875	2.57976	1.45744	2.122087	1.766164	3.175665	DDD	TRUE	DDD_TRUE
-5.272441	3307	1593	0.2308252	344.0531	10	10	-0.5149732	300	0.6678587	996.4238	2.411765	6	105	90	52	0.5953177	-1.121222	4.524966	9.301274	585	280	0.746491	165.7408	5.91573	16.6357	11.02333	0.4518091	0.4342589	16	19	80	178	0.6660543	121341	9.046276	179	18.33426	9.167129	6.086	3.753642	0.0611142	244220976	2697312	108167	2.069788e-4	29	0.707077	1.666261	2.093727	1.454287	1.876821	1.824207	2.27918	DDD	TRUE	DDD_TRUE
-3.525225	2997	1101	0.1984375	346.9717	10	10	0.5614878	300	0.6978193	906.5422	2.3	5	102	96	55	0.6086957	-1.427357	7.052156	9.288386	583	284	0.8237056	163.5226	6.661072	17.2662	9.99	0.473478	0.4508499	28	15	90	182	0.6584438	60857	5.280836	182	18.33278	9.16639	7.431263	3.380822	0.06110926	411769254	2750975	103911	1.973716e-4	30	0.7059823	1.515957	1.994059	1.340332	1.690411	1.556325	2.374257	DDD	TRUE	DDD_TRUE
-6.334875	3162	1388	-0.08458679	356.3421	10	10	-0.4519461	300	0.6673485	997.9544	2.483871	4	97	106	50	0.6153846	-1.156453	5.084247	9.284896	1	283	0.7807228	157.8571	6.112671	17.30836	10.54	0.5270136	0.4846275	20	16	78	184	0.6335561	84579	6.764281	188	18.25076	9.125382	6.836235	3.977686	0.06083588	312139872	2681415	106127	2.060711e-4	30	0.6843974	1.66882	1.988268	1.34665	1.988843	1.497304	2.276394	DDD	TRUE	DDD_TRUE
-5.732355	3183	1417	0.06888672	349.6105	10	10	0.02513478	300	0.6865943	940.217	2.380952	4	105	90	44	0.5652174	-1.212543	5.3697	9.286477	587	282	0.775572	164.5363	6.235977	17.19904	10.61	0.4804791	0.4308591	20	17	82	169	0.6657181	90170	7.522977	173	18.20384	9.101919	7.668479	3.648382	0.06067946	326959791	2707638	115239	2.023888e-4	28	0.7058458	1.572269	1.905175	1.318657	1.824191	1.576542	2.110201	DDD	TRUE	DDD_TRUE
-5.301879	3086	1238	-0.01649902	352.7404	10	10	-0.780271	300	0.6990785	902.7645	2.684211	4	101	98	49	0.6020067	-1.37301	5.675369	9.291027	590	282	0.79995	161.6931	6.538528	17.77052	10.28667	0.4911206	0.4527067	22	17	80	180	0.6507639	62853	6.854002	181	18.50664	9.253322	8.406208	3.527762	0.06168881	412190064	2784433	111821	1.968838e-4	33	0.695634	1.50964	1.77375	1.253692	1.763881	1.405228	2.015595	DDD	TRUE	DDD_TRUE
-3.565478	3331	1537	-0.2049365	359.2934	10	10	0.7233296	300	0.6973386	907.9841	2.37037	5	99	102	44	0.6020067	-1.451257	6.140549	9.293811	567	281	0.7411125	159.2546	5.75106	18.20279	11.10333	0.4872473	0.4524567	18	18	84	180	0.6513453	89787	7.604671	183	18.32239	9.161193	7.519353	3.524596	0.06107462	378987450	2748245	108981	1.98103e-4	34	0.7004776	1.518368	2.186659	1.272801	1.762298	1.59365	2.663212	DDD	TRUE	DDD_TRUE
