gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance model
0.7206909 3222 1466 0.03290611 80948 -0.3337512 365.6654 10 10 0.7233296 300 0.8284839 514.5484 2.681818 4 97 8 16 106 49 0.6421405 -0.8435428 9.866239 9.326655 1 0.0001423394 15.76452 0.002093073 7.351463 282 0.7661842 155.8867 5.84346 17.74698 10.74 0.5417884 0.4898056 22 17 9.759599 94 5.529412 5846 2624 192 0.6180364 83713 6.728161 192 16.40687 8.203435 15.34163 1.744989 0.05468957 309811347 2640664 111255 0.0001831166 0.0002002789 30 0.2562086 0.6995858 0.8604489 0.801322 0.8483222 0.8724947 0.8416144 0.763687 0.4913046 0.7966667 BD
1.961767 3536 1910 0.04287221 191108 -0.174021 358.4882 10 10 0.7233296 300 0.8235306 529.4081 2.4 5 95 9 22 110 56 0.6254181 -0.08897501 3.990195 9.32938 1 0.0001984772 15.28663 0.002625156 6.88386 276 0.6981464 157.6583 6.076352 17.39113 11.78667 0.5335862 0.4952355 16 23 10.80801 70 3.043478 6474 2938 187 0.6269578 138636 15.95434 190 15.00124 7.500619 13.40457 1.635326 0.05000412 193909215 2379577 102379 0.0001813565 0.0002251105 34 0.2165662 0.6807568 0.8852978 0.9108089 0.9533865 0.8176631 0.9472073 0.8684898 0.5366544 0.89 BD
2.025228 3133 1353 0.03036969 88913 0.01056906 355.0857 10 10 0.4999584 300 0.8258428 522.4715 2.576923 4 97 9 24 106 50 0.6287625 -1.269205 5.155318 9.328223 1 0.0002245858 14.80476 0.004915545 6.813111 281 0.7879494 158.3678 6.713371 16.97407 10.44333 0.5124796 0.4777151 20 18 9.462437 68 3.777778 5668 2535 188 0.63743 87740 8.267681 189 17.12302 8.561512 15.1719 1.633388 0.05707675 260146512 2764388 115241 0.0001976675 0.0001931162 28 0.2555838 0.6100131 0.8736982 0.8419639 0.9310851 0.8166938 0.9677547 0.7132879 0.5310593 0.82 BD
1.806236 2954 1150 0.02581311 71492 0.5208423 348.1387 10 10 0.4999584 300 0.83119 506.4299 2.461538 5 101 15 23 98 42 0.6020067 -0.3706397 6.122288 9.335371 593 0.0002613419 15.26584 0.0003107744 7.054058 284 0.8356959 160.9703 6.878113 16.16517 9.846667 0.4861974 0.4453142 22 15 8.864775 92 6.133333 5310 2356 180 0.6547369 79119 5.173735 182 16.3364 8.168198 15.86404 1.572778 0.05445466 273673065 2632892 118211 0.0002118644 0.0002021409 26 0.2443284 0.627844 0.8468727 0.7231587 0.9077625 0.786389 0.7764574 0.6652694 0.5341573 0.8566667 BD
0.7367014 3059 1283 0.02879846 53863 0.2543799 348.7129 10 10 0.7233296 300 0.8161884 551.4348 2.727273 4 100 16 22 100 45 0.5919732 -0.9461149 5.242698 9.321765 22 0.0002780656 15.46209 0.0002807767 7.240094 283 0.8070107 160.8718 6.558258 17.26058 10.19667 0.5016923 0.454154 18 16 9.215359 90 5.625 5520 2461 177 0.6523927 70252 6.640123 181 16.53106 8.265531 16.93332 1.75266 0.05510354 377360343 2640812 108467 0.0001861158 0.0001942137 31 0.2436374 0.6879702 0.9221318 0.8965772 0.9682409 0.8763301 0.9641539 0.8282273 0.5232455 0.6233333 BD
0.7669169 3076 1296 0.02909026 74998 0.4936072 343.7574 10 10 0.7233296 300 0.7995401 601.3798 2.391304 4 101 9 21 98 50 0.6153846 -1.461249 6.681089 9.321767 587 0.0000139606 14.26465 0.001040563 6.371791 282 0.8025506 161.8069 6.638962 16.90305 10.25333 0.4712344 0.4533352 16 17 9.27212 82 4.823529 5554 2478 184 0.655637 80811 6.524236 187 17.65943 8.829716 13.40306 1.936002 0.05886477 347648865 2813274 112351 0.0001913876 0.0001898285 32 0.244178 0.5721859 1.005652 0.9478333 1.043556 0.9680008 1.014869 0.8815618 0.5171101 0.6666667 BD
1.538973 3215 1465 0.03288366 128913 0.2219922 346.7015 10 10 -0.7259818 300 0.8218463 534.4611 2.208333 4 103 9 21 94 50 0.6020067 -1.012673 5.935506 9.327158 592 0.0000283223 17.69543 0.001114532 7.708994 282 0.7678524 162.7788 6.216644 16.6307 10.71667 0.4793029 0.4484887 14 17 9.736227 82 4.823529 5832 2617 180 0.6562271 107699 7.802397 185 16.83315 8.416573 15.22488 1.650672 0.05611048 250153134 2705190 116791 0.0002034588 0.0001964594 29 0.2551928 0.7047547 0.8937477 0.8499397 0.9626186 0.825336 0.9707424 0.7233646 0.5367282 0.8333333 BD
0.8372439 3143 1359 0.03050437 61453 -0.06066406 355.5829 10 10 0.6342617 300 0.8346587 496.0238 2.269231 4 99 10 21 102 51 0.6153846 -0.4297298 3.573526 9.324417 1 0.0001334582 15.0264 0.0004579342 6.831468 281 0.7854424 159.4765 6.309807 17.65322 10.47667 0.4966814 0.4642119 28 18 9.495826 82 4.555556 5688 2545 184 0.6466885 74005 7.648283 185 15.88894 7.944471 21.30297 1.615146 0.05296314 376503345 2558862 110169 0.0001812251 0.000195006 33 0.2212924 0.6699392 0.8294712 0.7358265 0.8515165 0.8075728 0.7408385 0.7323435 0.5115721 0.6233333 BD
1.584588 2897 977 0.02192992 19481 0.2867676 350.7054 10 10 0.6342617 300 0.8097562 570.7315 2.52 5 99 12 21 102 47 0.6020067 -2.076471 11.18176 9.320044 1 0.0006318139 15.10161 0.0006841653 6.759425 284 0.8521386 159.9155 6.913757 16.94357 9.656667 0.4934561 0.4550851 24 15 8.674457 96 6.4 5196 2299 180 0.6533485 53142 4.132564 183 17.76917 8.884584 13.05377 1.755157 0.05923056 421620369 2851350 110531 0.0001925669 0.0001842705 29 0.208382 0.6744329 0.9544005 0.8962604 1.031738 0.8775783 0.9972837 0.7870278 0.5387087 0.5033333 BD
1.72365 3034 1238 0.02778838 62754 0.09538574 353.9855 10 10 -0.4571638 300 0.8349209 495.2372 2.5 5 99 12 22 102 46 0.6153846 -0.5828757 5.325433 9.329738 1 0.0002881186 14.26686 0.0000188573 6.392951 282 0.8136604 158.7498 6.624481 16.89512 10.11333 0.5179959 0.4686889 22 17 9.131886 100 5.882353 5470 2436 184 0.6385067 74710 6.247982 186 16.40036 8.200182 20.49035 1.646274 0.05466788 312296169 2651083 110539 0.0001973554 0.000186577 30 0.2281043 0.7031129 0.8281558 0.7462285 0.8332081 0.8231372 0.6240857 0.8699993 0.5013679 0.8366667 BD
