Family area_per_pair average_leaf_depth avg_ladder avg_vert_depth b1 b2 beta blum cherries colless colless_corr colless_quad crown_age diameter double_cherries eigen_centrality eigen_centralityW ew_colless four_prong gamma i_stat il_number imbalance_steps j_one j_stat laplace_spectrum_a laplace_spectrum_e laplace_spectrum_g laplace_spectrum_p max_adj max_betweenness max_closeness max_closenessW max_del_width max_depth max_ladder max_laplace max_width mean_branch_length mean_branch_length_ext mean_branch_length_int min_adj min_laplace mntd mpd mw_over_md nltt_base number_of_lineages phylogenetic_div pigot_rho pitchforks psv rogers root_imbalance rquartet sackin stairs stairs2 symmetry_nodes tot_coph tot_internal_path tot_path tree_height treeness var_branch_length var_branch_length_ext var_branch_length_int var_depth vpd wiener Taxa
Brevicipitidae 9.81996434937611 6.26470588235294 2.66666666666667 5.37313432835821 16.9634920634921 3.978515625 -0.49642578125 37.1710686104172 11 81 0.153409090909091 611 69.52703454 19 0 0.344547935496429 0.671145809463605 0.522361492673993 3 -0.75482305912602 0.580392156862745 12 23 0.812083270434326 3.04822475872038 0.0222991938063119 9.02770779916083 2 3.31940233623843 58.7663164416 1289 0.00277777777777778 0.00024809367339096 6 10 4 125.2511262409 14 10.5621510623864 11.221770344 9.86130557567187 0.79820238 0.0112396884 22.4435637625471 103.639641796493 1.4 0.705107447489288 34 697.1019701175 1.48930108423645 5 51.8198208982464 21 0.5 59487 213 0.636363636363636 0.609301346801347 22 760 147 360 69.52703454 0.452676641221241 94.820153474456 113.432474367373 77.081519443529 3.59447415329768 1688.33723435835 189892.259787525 Amphibians
Petropedetidae 7.20588235294118 4.88235294117647 0 4.06060606060606 8.92619047619048 3.5703125 -0.196103515625 15.7851372336369 6 31 0.258333333333333 159 110.712700007 12 0 0.369885216456565 0.58610898577838 0.474074074074074 0 0.60809594056736 0.493197278911565 5 8 0.837191184352479 8.34519441445502 0.777033860423118 8.7910367187776 1 1.58352656368913 95.8251916038 291 0.00806451612903226 0.000370719169299584 4 8 0 211.7390685873 8 17.4625492282375 16.0522782327059 19.0608563565067 5.1861106248 0.0386733338 32.1045793427059 141.868305045735 1 0.703099283735205 17 558.8015753036 1.64778107554164 3 70.9341525228677 9 0.647058823529412 2664 83 0.5625 0.662042297979798 9 174 51 134 110.712700007 0.511653613704045 267.826207700112 122.180227002137 448.25709491078 3.36029411764706 6694.72626120124 61941.3357958816 Amphibians
Trochilidae 19.3377166948237 12.2424242424242 2.625 11.2606896551724 185.67384729134 5.31061220169067 -0.702529296875 466.013150619573 117 2288 0.0350162991077578 211220 38.613944 38 15 0.218122204932849 0.70423157931188 0.490849352264228 23 -2.63664648823483 0.583810798857033 129 340 0.694619429093712 0.120258103382929 1.79239447655034 10.8968273696779 81 6.13474707982329 41.4907369651 164999 0.000139625802848366 0.0000650411003997132 22 22 5 87.7539035172 94 2.74976827241713 3.57301162707989 1.92196401274238 0.1010976625 0.0004186514 7.14602656457302 43.6536915280033 4.27272727272727 0.857968766201433 363 1990.83222923 0.647665566593916 49 21.8268457640016 225 0.884297520661157 552989334 4444 0.621546961325967 0.609395982454127 225 169091 3720 8164 38.613944 0.348512043562985 8.87756828924004 11.2635970441211 5.13240297109402 12.0847145488029 352.15601743531 10055403.5024574 Birds
Sylviidae 17.3841981132075 12.94375 2.46153846153846 11.987460815047 79.8263300281254 3.09454363584518 -1.03818359375 217.921625652495 51 1285 0.10230077223151 84793 20.88414691 36 5 0.233864589021428 0.707106631406684 0.516083783492796 8 -2.55516547847113 0.619182145908359 58 134 0.565672861024615 0.200708158765876 -0.111266840703984 9.41799116916979 1 2.23655495182759 25.2892716356 29771 0.000334224598930481 0.000206136308949087 12 25 5 53.8354350058 38 3.25576690669811 4.6270150429375 1.86716119911392 0.0031349847 0.0000251716 9.25403270674999 32.1133054025401 1.52 0.690155537067264 160 1035.33387633 -0.187893138234237 23 16.0566527012701 99 0.99375 22347435 2071 0.622641509433962 0.585026985232552 101 54081 1753 3824 20.88414691 0.284943317517767 13.7476801941533 19.8445385866117 3.80396099320737 20.317570754717 71.6111045969643 1309301.0653419 Birds
Cracidae 12.3997493734336 7.89473684210526 2.6 6.97345132743363 28.1083694083694 3.801025390625 -0.985185546875 71.092526111125 18 198 0.128571428571429 2668 40.95381245 23 3 0.287285685380056 0.663976199729923 0.483505898490225 2 1.9644031415979 0.560364740478377 21 43 0.738832735127534 0.851399791393176 3.33918942184553 9.09187709915819 1 4.64558488365686 41.3505700163 4019 0.00130548302872063 0.000246442337740791 6 13 4 89.7424521908 24 2.32011348089286 2.4901555654386 2.14388804781818 0.0783916081 0.0007168175 4.98031226070175 48.529788109411 1.84615384615385 0.888683885111242 57 259.85270986 1 5 24.2648940547055 35 0.56140350877193 495057 450 0.625 0.611002205439849 35 2705 338 788 40.95381245 0.453771841338611 16.6234729376682 7.08540681006991 26.7604917007108 5.38157894736842 1158.45944769438 284859.69294642 Birds
Meliphagidae 16.5346927528245 11.434554973822 2.35714285714286 10.4671916010499 100.040815148903 3.75746536254883 -0.7408056640625 242.365058467487 64 1078 0.0600389863547758 80832 22.55058268 29 9 0.262392422984601 0.645980050634025 0.464467168824208 10 -8.40309624667607 0.547268378082073 63 171 0.662678070583713 0.106318789575747 2.01367997099179 9.68751925277408 6 2.78475496279262 19.7884420588 45087 0.000308166409861325 0.000338366502819834 20 19 5 45.3898280396 62 2.80014977186842 4.06171882780105 1.52523077883598 0.0082105442 0.0001655676 8.12343980471204 20.3068888089678 3.26315789473684 0.75295629785671 191 1064.05691331 0.822130344237918 26 10.1534444044839 113 0.989528795811518 63526137 2184 0.594736842105263 0.63132042520611 115 57469 1804 3988 22.55058268 0.270914660291311 5.91127509639874 5.68246660548292 2.92294273047752 10.4891154588041 26.4514776022278 1076018.5713799 Birds
Thraupidae 19.754433202785 15.4635416666667 2.5 14.4850065189048 198.021108582904 3.22153829038143 -0.745774230957031 495.73248475626 125 3702 0.050606263584542 680458 14.04195388 39 11 0.239279854698366 0.707045080117891 0.499848950498775 23 -6.4230892690749 0.574567773689086 134 356 0.555174402202243 0.0574838394082618 -1.05561601088631 9.89970391412772 1 4.67282654916484 14.1056322328 180153 0.000125833647917453 0.000137056687703364 18 27 7 28.8011296564 78 2.12615667483028 2.84228410950521 1.40627988185864 0.0192862609 0.000130276 5.68457026442708 22.0737943327725 2.88888888888889 0.69795939860853 384 1628.63601292 -0.373626663318019 59 11.0368971663863 242 0.997395833333333 796438323 5938 0.631853785900783 0.606883734367475 243 410796 5172 11110 14.04195388 0.329845902097456 3.70336610890813 4.83466374616408 1.53939065990226 17.7689023063533 9.6413953672252 5252865.92297409 Birds
Fringillidae 19.1816267153031 14.3585526315789 3.09375 13.3838550247117 143.735730072525 2.98380945622921 -0.976904602050781 413.547748683841 85 2723 0.0595152230454834 351419 17.09769237 39 5 0.239578674342305 0.634647201910521 0.571118135349601 25 -6.20288399131779 0.648144657484928 134 276 0.574426108610962 0.0861805725874585 -0.574845764674857 9.86921936096457 2 2.99261915713852 17.1844761318 118611 0.000166389351081531 0.000138094434627866 14 27 8 34.6922350991 48 2.38602142075908 3.35487248565789 1.41075412364238 0.0501047727 0.0004194652 6.70974737796053 26.1988940665874 1.77777777777778 0.721813583698135 304 1445.92898098 -0.0211028494083172 48 13.0994470332937 208 0.99671052631579 270186180 4365 0.686468646864686 0.553895241090542 209 219583 3759 8124 17.09769237 0.294653299673985 5.25656544031869 6.94909409795411 1.6679202376511 21.1482434427653 27.5091078218168 3957735.63648066 Birds
Acanthizidae 12.0724637681159 8.95652173913044 2.16666666666667 8.02919708029197 36.5900543900544 3.72259521484375 -0.69514410445945 82.0933841480756 24 310 0.136084284460053 9628 31.70098446 23 2 0.304914375298434 0.652872185069336 0.464813371409828 4 -0.967432186272927 0.512705462154162 21 53 0.682019720902417 0.465210028626339 2.57976143516413 9.00659955070369 5 2.17833417660954 27.5149129552 5953 0.00118343195266272 0.000482166307503818 6 15 3 60.9948317308 20 3.47992362279412 4.07014684333333 2.87208179865672 0.1374135635 0.0042814848 8.14029591043479 32.0994919752174 1.33333333333333 0.783635116750105 69 473.2696127 0.608497518819484 11 16.0497459876087 42 0.956521739130435 817710 618 0.61764705882353 0.638860179947584 42 6851 482 1100 31.70098446 0.406595892375577 11.2498305548115 11.2489318821762 10.6819405467385 7.65984654731458 155.602645727167 240285.1621333 Birds
Accipitridae 18.7930281124498 13.316 2.64285714285714 12.3446893787575 122.338191149124 4.88485048525035 -0.92041015625 333.830108533327 74 2053 0.0664917735457961 185067 36.8233464 41 10 0.251400054269205 0.657624716325402 0.547226207711083 20 -0.913980135402089 0.63521904734466 102 219 0.59821149629484 0.20825364769526 0.22739727824633 10.442144152095 6 2.96050756775076 30.245215031 81309 0.000205888408482602 0.0000844044535215062 10 30 5 65.6370834216 42 4.70011800518072 6.21508684276 3.17293167697581 0.0001266933 0.0004603387 12.43017714056 52.063411923815 1.4 0.745741871545507 250 2340.65876658 -0.341536042756787 36 26.0317059619075 163 0.976 93424287 3329 0.654618473895582 0.570413759428382 163 121994 2831 6160 36.8233464 0.336181876284232 28.2759057143819 37.6628072285733 14.2627270094012 28.5945220883534 179.973806018111 5329977.0743662 Birds
